 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
165,Eat My Words,PrettyUgly,165,1A,91,2025-03-08,03:10,35,,,Eat My Words,2023-11-03,41,0,0,66,10,0,-4,G#/A♭ minor,4,1Lp7vOBdE1qXhhY11OG4qh,2023 PrettyUgly,QZTVM2371919,Gabe,1.8164339032339871,-0.9862969712313531,-0.2182357820486113
166,reincarnated,Kendrick Lamar,91,9B,78,2025-03-16,04:35,71,"hip hop, west coast hip hop",Hip Hop,GNX,2024-11-22,85,5,0,75,20,30,-5,G,4,0RgjEkSbeuStKfT2Pa4Zai,"pgLang, under exclusive license to Interscope Records",USUG12408500,Bryce,1.4301031988073822,1.955082250863362,1.8143677208942843
167,Dragonball Durag,Thundercat,81,10B,59,2025-03-16,03:01,62,,,It Is What It Is,2020-04-03,65,70,81,40,0,10,-10,D,4,7eWGnKg4B44sbBPpQp4y2c,Brainfeeder,GBCFB2000018,Bryce,-2.6234853083691574,0.1571400085310605,-1.2137364108634345
168,Origami,The Rare Occasions,130,1B,80,2025-03-19,02:54,63,,,Big Whoop,2021-06-18,48,1,1,63,0,20,-6,B,4,3qpyxgH65qNhJ9hLS2gWrS,The Rare Occasions,USANG2189717,Jean,0.9655767339534267,-0.44294434853932585,-0.353365125288261
169,Remember Me (from the series Arcane League of Legends),"Arcane, d4vd",131,5A,59,2025-03-19,02:02,68,score,,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,48,13,39,37,0,20,-8,C minor,4,2fQwoYSzWzChmIB2zZwrGL,Riot Games,USA2P2459595,Jean,-0.707170293750581,-1.1786931621279548,-0.5207207522221378
170,BLOODBATH,"6arelyhuman, asteria",148,10A,92,2025-03-22,02:12,56,hyperpop,"Electronic, Pop",BLOODBATH,2025-01-29,40,0,0,43,10,70,-2,B minor,4,30IcVPNfNfWeEqbSzQhMi6,"Artist Partner Group, Inc.",QZZ4J2500030,Sarah,2.210177163857631,-2.0578989100890395,2.178069446682381
171,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",88,9A,60,2025-03-22,02:27,77,"score, french pop",Pop,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,68,0,0,37,10,20,-8,E minor,4,2LwsunYgfRoqyIsNtgOCQx,Riot Games,USA2P2459602,Sarah,-0.15165896089359138,0.7431847129136033,1.0668692107504654
172,WINDY SUMMER,Anri,107,10B,76,2025-03-31,04:06,59,"city pop, j-pop, kayokyoku",Pop,Timely!!,1983-12-05,65,18,0,84,0,10,-5,D,4,7fgmo2cHGzWLexkRhBeECj,"FOR LIFE MUSIC ENTERTAINMENT,INC.",JPFL08310240,Eunice,0.8500260017701822,1.1920229615591784,-0.7458751480655388
173,Where You Go,Meldrop,110,10B,52,2025-04-03,03:17,40,,,Meldrop,2023-12-23,68,72,0,53,0,20,-11,D,4,4ZPkW8kj32cbdSEmzo6vTY,Meldrop,QZNN22396595,Angel,-1.7999982932130565,1.0317075922858367,0.31554738889465356
174,track 02,Flight by Nothing,155,5B,80,2025-04-03,02:42,11,,,BACK FOR MORE,2023-08-11,58,2,0,93,0,0,-5,D#/E♭,4,1RDOW4HrSrLgOB4SqSCfup,Flight By Nothing,QZNWQ2357254,Angel,1.5508329437759272,0.43146474734936113,-1.2898976984608606
175,Picture Window,Japanese Breakfast,108,8B,73,2025-04-03,02:58,49,,,For Melancholy Brunettes (& sad women),2025-03-21,68,15,13,58,0,10,-7,C,4,02olsPYJypEE0IyuaGS4K4,Dead Oceans,USJ5G2442507,Tony,0.12961147455670322,0.7091939333395336,-0.6356235326032094
176,Stay Golden,Combat,108,3B,93,2025-04-03,01:58,34,midwest emo,Rock,Stay Golden,2024-08-16,49,0,26,66,0,10,-3,C♯/D♭,4,3LDShVeLxQkQldsomd0n2k,Counter Intuitive Records,QM6N22473072,Tony,1.3460443951755299,-0.36478253025903584,-1.200289974788519
177,Love the Subhuman Self,"AISHA, Jamison Boaz, Arc System Works",138,9B,99,2025-04-03,05:08,51,,,GUILTY GEAR -STRIVE- ORIGINAL SOUND TRACK VOL.1,2021-10-01,50,0,0,17,20,40,-3,G,4,7gESuiigF7GFFYIApfUBk5,ARC SYSTEM WORKS,TCJPP2140731,Bryce,1.867720511948843,-1.613554866201251,2.4532482324467404
178,Anything For You,Ludo,108,12B,73,2025-04-05,03:23,37,,,Prepare The Preparations,2010-01-01,69,24,0,67,0,10,-8,E,4,6o5sSlAsvLcPdrK7HFxXp3,Island Def Jam,USUM71016825,Miller,0.06192883833490158,1.125457656186476,-0.46513275138573057
179,Voldemort,With Confidence,103,6A,95,2025-04-05,03:00,49,pop punk,"Pop, Rock",Better Weather,2016-06-17,54,0,0,75,0,70,-4,G minor,4,27oxSfW0iib7w0NG4zf9Fp,Hopeless Records,USHR21610112,Miller,1.9829553270434386,-0.26461515993988416,1.0266897357811813
