 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
32,The Unknowing,Jfarrari,180,10A,88,2025-06-03,03:17,43,"darkwave, post-punk","Electronic, Rock",Fear of the Unknown,2025-01-24,48,1,68,69,0,10,-6,B minor,4,4SsTGcFqch8KEvS3Ag4QKp,Jfarrari,QZTAT2357388,Jean
33,Bubble Pop Electric,"Gwen Stefani, Johnny Vulture",194,3B,98,2025-06-03,03:42,64,,,Love. Angel. Music. Baby.,2004-11-12,57,0,0,35,20,10,-4,C♯/D♭,4,4A2vjMnkAWgPVqwl3Xc7pu,Interscope,USIR10400844,Jean
34,SPIT IN MY FACE!,ThxSoMch,94,4B,79,2025-06-03,02:27,79,,,SPIT IN MY FACE!,2022-12-20,73,5,2,65,0,10,-7,G#/A♭,4,1N8TTK1Uoy7UvQNUazfUt5,Elektra (NEK),USAT22223103,Jean
35,idfc,blackbear,145,12A,50,2025-06-07,04:05,75,,,deadroses,2015-02-14,63,61,0,32,0,10,-9,C♯/D♭ minor,4,6y6jbcPG4Yn3Du4moXaenr,Santa Anna,TCACB1407069,Kathryn
36,Rewrite The Stars,"Zac Efron, Zendaya",125,6B,62,2025-06-07,03:37,75,musicals,"Classical, Easy Listening, Pop",Rewrite The Stars,2017-11-17,68,7,0,28,0,10,-7,A#/B♭,4,630sXRhIcfwr2e4RdNtjKN,Atlantic Records,USAT21704623,Kathryn
37,Last Star,James Ivy,101,9B,90,2025-06-08,03:42,0,,,Last Star,2021-08-06,52,1,0,51,0,20,-5,G,4,4i5McfiyWkcmVhV8A9oTbv,FADER Label,US4HB2100339,TJ
38,Is There Really No Happiness?,Porter Robinson,98,2B,84,2025-06-08,03:19,37,"edm, electronic",Electronic,SMILE! :D,2024-07-26,61,16,0,63,0,0,-4,F#/G♭,4,3eE6IderHf7lnqOorqiNVK,Mom+Pop,USQE92400089,TJ
39,I Shot The Sheriff,Bob Marley & The Wailers,97,4B,65,2025-06-09,04:40,60,"reggae, roots reggae",Reggae,Legend - The Best Of Bob Marley And The Wailers,2002-01-01,80,34,0,72,10,0,-9,G#/A♭,4,60e5PcqGmlVFQ0HHgUagCJ,UMC (Universal Music Catalogue),GBAAN7390003,Shelbie
40,Uncle Sam Goddamn,Brother Ali,88,1B,63,2025-06-09,04:57,47,underground hip hop,Hip Hop,The Undisputed Truth,2007-04-10,80,26,0,67,20,10,-6,B,4,06tMxo0sySSq4SkIS3xUsc,Rhymesayers,USBWK0700021,Shelbie
41,Emphasis,Stelvio Cipriani,90,7A,64,2025-06-14,02:57,38,,,Dedicato a una stella,1976-01-01,53,85,94,59,0,0,-13,D minor,4,01AZNeB0xebSftRphNrXBy,Cinevox Record,ITC047702162,Angel
42,El amor de tu vida tiene derecho a encontrar el amor de su vida,Novio,118,10B,62,2025-06-14,03:13,29,latin indie,"Latin, Rock",Tristeza Feliz,2024-07-12,37,3,0,56,0,50,-10,D,4,7tKm7yhzMzpwcRjjvpolaA,NOVIO MUSIC,QZNWW2102034,Angel
43,Aishite Aishite Aishite,Ado,115,4B,88,2025-06-17,04:18,71,"j-pop, anime, vocaloid, j-rock","Pop, Rock, Electronic",Ado's Utattemita Album,2023-12-13,57,23,0,25,0,0,-4,G#/A♭,4,4gpvY7b9wHA9G1ZsMDu15b,Universal Music LLC,JPPO02303971,Gabe
44,Save My Soul,Big Bad Voodoo Daddy,90,2A,48,2025-06-17,06:34,41,"swing music, big band, electro swing, rockabilly","Jazz, Electronic, Rock",Save My Soul,2003-01-01,61,19,0,47,0,10,-7,D#/E♭ minor,4,2euSu0KhXQg055y2FO45LG,Big Bad Records,USVG20310008,Gabe
45,Unsweetened Lemonade,Amélie Farren,120,6A,49,2025-06-17,02:24,0,,,Unsweetened Lemonade,2024-01-26,78,26,0,46,0,10,-14,G minor,4,0hjTOj4u1cLwPov4fqevnw,Amélie Farren / TNP,GBLFP2425358,Gabe
46,YELLOW,Yoh kamiyama,118,6A,72,2025-06-17,02:58,54,"anime, j-pop, japanese indie, j-rock","Pop, Rock",SHIAWASE NA OTONA,2019-04-03,79,1,0,69,0,0,-5,G minor,4,6oLejuhWNQf76ydBbtLrT9,e.w.e,JPZ921902032,Puffy
47,overwhelmed,Royal & the Serpent,87,5A,32,2025-06-17,02:39,65,,,Overwhelmed,2020-06-26,80,31,0,46,30,10,-11,C minor,4,5jjZikDrEd0by1o7V3fO4y,P2020,USAT22002973,Gabe
48,Dust,Parquet Courts,145,8B,96,2025-06-17,03:57,0,"post-punk, indie rock, garage rock",Rock,Human Performance,2016-04-08,55,33,93,96,0,50,-6,C,4,0bZDQlvx2oS1NiUZZ1aXGu,Rough Trade,GBCVZ1500160,Puffy
49,Smooth Operator - Single Version,Sade,119,8A,58,2025-06-17,04:18,82,,,The Best of Sade,1994-10-31,73,24,0,96,0,0,-7,A minor,4,1Hv1VTm8zeOeybub15mA2R,Epic,GBBBM8400016,Bryce
50,Guide My Way (Red Like Roses - Part III),"Casey Lee Williams, Martin Gonzalez",144,6A,68,2025-06-17,05:21,43,,,"RWBY, Vol. 9 (Original Soundtrack from the Rooster Teeth Series)",2023-07-28,26,1,0,27,0,10,-9,G minor,4,2Wn3g3HprkABFfUBONYVyo,Materia Collective,TCAHG2342065,Bryce
51,twilight,Liquid Stella,96,3B,45,2025-06-17,04:06,18,jazz fusion,"Electronic, Jazz, Rock",twilight,2025-06-04,69,53,89,37,0,10,-11,C♯/D♭,4,27z5MHpFUp1QckuRyGQfsh,INSENSE MUSIC WORKS INC.,TCJPH2547280,Angel
52,Ride the Fire!,"Daisuke Ishiwatari, Naoki Hashimoto",156,6B,81,2025-06-17,03:13,41,japanese vgm,Electronic,Guilty Gear Xrd -Sign- Original Sound Track,2015-03-27,39,0,2,41,0,30,-7,A#/B♭,4,5LOsGqxUaKDwgImAKp2oha,Various Artists,TCJPE1602175,Bryce
